Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Ryan,2,NEW (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,22,4.2,0.0,0.0,0.4,-21416,1159789,£4.5
Ryan,3,MUN (H) 2 - 3,1,90,0,0,0,3,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,33686,1227969,£4.5
Ryan,4,EVE (A) 4 - 2,0,90,0,0,0,4,0,0,0,0,0,2,0,11,10.2,0.0,0.0,1.0,-23063,1214001,£4.5
Ryan,5,CRY (A) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,4,3.4,0.0,0.0,0.3,-48683,1174518,£4.5
Ryan,6,WBA (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,14,12.2,0.3,0.0,1.3,-40165,1140776,£4.5
Ryan,7,TOT (A) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-49697,1091946,£4.5
Ryan,8,BUR (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,27,12.0,0.0,0.0,1.2,-49506,1044465,£4.5
Ryan,9,AVL (A) 1 - 2,3,90,0,0,0,1,0,0,0,0,0,3,0,19,20.2,0.0,0.0,2.0,-29558,1013226,£4.5
Pickford,9,FUL (A) 2 - 3,2,90,0,0,0,2,0,0,0,0,0,4,0,17,26.8,0.0,0.0,2.7,-20299,525236,£4.9
Fabianski,10,AVL (H) 2 - 1,3,90,0,0,0,1,0,0,0,0,0,5,0,19,30.4,0.0,0.0,3.0,51729,276973,£5.0
Lloris,10,CHE (A) 0 - 0,10,90,0,0,1,0,0,0,0,0,0,3,3,31,18.8,0.0,0.0,1.9,-2882,399842,£5.5
Darlow,10,CRY (A) 0 - 2,8,90,0,0,1,0,0,0,0,0,0,3,1,28,23.2,0.0,0.0,2.3,-2818,131310,£5.0
Patricio,10,ARS (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,1,0,8,8.8,0.0,0.0,0.9,-11692,553302,£5.5
