Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Harrison,2,FUL (H) 4 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,1,0.8,2,12,1.5,"158,460","250,466",£5.5
Harrison,3,SHU (A) 0 - 1,7,90,0,1,1,0,0,0,0,0,0,0,1,28,39.8,66.3,10,11.6,"-41,319","200,484",£5.5
Harrison,4,MCI (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-51,914","150,431",£5.5
Sterling,2,WOL (A) 1 - 3,5,81,0,1,0,1,0,0,0,0,0,0,0,17,22.2,14.7,29,6.6,"70,648","322,864",£11.5
Sterling,3,LEI (H) 2 - 5,2,90,0,0,0,5,0,0,0,0,0,0,0,-4,4.6,6.5,40,5.1,"92,242","431,789",£11.5
Sterling,4,LEE (A) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,2,21,43.2,54.3,69,16.7,"54,283","496,951",£11.5
Saint-Maximin,1,WHU (A) 0 - 2,3,74,0,0,1,0,0,0,0,0,0,0,0,7,3.8,2.8,5,1.2,0,"1,361,562",£5.5
Saint-Maximin,2,BHA (H) 0 - 3,1,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0.6,0,0,"-83,797","1,348,064",£5.5
Saint-Maximin,3,TOT (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-641,093","698,170",£5.4
Saint-Maximin,4,BUR (H) 3 - 1,12,72,1,1,0,1,0,0,0,0,0,0,2,42,60.2,37.4,23,12.1,"-190,292","526,681",£5.4
Son,5,WHU (H) 3 - 3,13,79,1,1,1,0,0,0,0,0,0,0,2,35,62.0,33.6,56.0,15.2,1907229,3165689,£9.2
Salah,5,EVE (A) 2 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,24,48.4,20.2,96.0,16.5,330864,3337859,£12.3
Rodriguez,5,LIV (H) 2 - 2,4,90,0,1,0,2,0,0,0,1,0,0,0,22,30.4,50.2,8.0,8.9,735240,2994469,£7.9
Grealish,5,LEI (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,15,14.6,49.8,20.0,8.4,706988,1483728,£7.1
Zaha,5,BHA (H) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,2,19,35.6,1.7,21.0,5.8,-139108,1371672,£7.2
Jorginho,5,SOU (H) 3 - 3,5,90,0,1,0,3,0,0,0,0,0,0,0,23,16.2,6.0,0.0,2.2,303609,781585,£5.2
Mane,5,EVE (A) 2 - 2,6,90,1,0,0,2,0,0,0,1,0,0,0,18,46.2,28.3,57.0,13.2,-103546,463038,£11.9
Fernandes,5,NEW (A) 1 - 4,11,90,1,1,0,1,0,0,1,0,0,0,3,49,85.4,78.7,56.0,22.0,-1258,1508759,£10.5
Bowen,5,TOT (A) 3 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,6,4.8,24.7,22.0,5.2,47485,145413,£6.3
McGinn,5,LEI (A) 0 - 1,5,90,0,1,1,0,0,0,0,1,0,0,0,14,21.4,36.6,3.0,6.1,40927,98414,£5.5
Sterling,5,ARS (H) 1 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,28,39.4,21.0,35.0,9.5,-54119,436941,£11.5
Fornals,5,TOT (A) 3 - 3,2,76,0,0,0,3,0,0,0,0,0,0,0,6,2.6,3.0,26.0,3.2,9781,24572,£6.4
Townsend,5,BHA (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,6,13.4,8.9,0.0,2.2,-420,268785,£6.1
Costa,5,WOL (H) 0 - 1,2,70,0,0,0,1,0,0,0,0,0,0,0,3,0.8,3.5,14.0,1.8,-25053,731100,£5.7
Rashford,2,CRY (H) 1 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,11,8.2,31.3,10.0,5.0,111651,445991,£9.5
Rashford,3,BHA (A) 2 - 3,7,90,1,0,0,2,0,0,0,0,0,0,0,21,36.6,14.5,39.0,9.0,-71554,380669,£9.5
Rashford,4,TOT (H) 1 - 6,2,90,0,0,0,6,0,0,0,0,0,0,0,4,5.6,14.9,2.0,2.3,46715,445218,£9.5
Rashford,5,NEW (A) 1 - 4,15,90,1,2,0,1,0,0,0,0,0,0,2,46,76.6,35.8,111.0,22.3,-42366,417457,£9.5
Klich,5,WOL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,7.0,16.3,6.0,2.9,-34765,551537,£5.6
Willian,5,MCI (A) 1 - 0,2,68,0,0,0,1,0,0,0,0,0,0,0,9,4.6,29.5,0.0,3.4,-236095,667520,£7.9
Trossard,5,CRY (A) 1 - 1,2,77,0,0,0,1,0,0,0,0,0,0,0,5,4.6,27.7,9.0,4.1,30407,174078,£6.0
Barnes,5,AVL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,7.2,2.9,26.0,3.6,-64924,450483,£7.1
Hendrick,5,MUN (H) 1 - 4,2,87,0,0,0,2,0,0,0,0,0,0,0,11,18.0,1.6,1.0,2.1,-58010,289612,£5.1
Pereira,5,BUR (H) 0 - 0,3,87,0,0,1,0,0,0,0,0,0,0,0,15,15.2,59.3,34.0,10.9,-23505,240207,£6.0
March,5,CRY (A) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,0,1,17,15.8,42.2,10.0,6.8,18168,73126,£5.0
Havertz,1,BHA (A) 1 - 3,2,79,0,0,0,1,0,0,0,0,0,0,0,8,8.4,14.8,0.0,2.3,0,755977,£8.5
Havertz,2,LIV (H) 0 - 2,1,45,0,0,0,0,0,0,0,0,0,0,0,2,1.6,0.9,0.0,0.3,-184734,638996,£8.5
Havertz,3,WBA (A) 3 - 3,5,90,0,1,0,3,0,0,0,0,0,0,0,20,33.2,28.9,32.0,9.4,-78935,601436,£8.4
