Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Hudson-Odoi,0.21500978654257275,1.5113099313911706,5.7,97.0,88.0,0.020900007804393873
Ceballos,0.28240881545824476,1.5629432740683078,4.7,82.0,89.0,0.7876712790650008
Benrahma,0.21958244701194501,1.6182885221753605,6.0,95.0,90.0,0.8090116882009499
Torres,0.23608883562563918,1.9749258819361546,6.9,83.0,91.0,0.860239017640207
Willian,0.22797431111139607,2.0857996334650837,7.5,85.0,92.0,-1.0866682239605339
Kovacic,0.23886327006372401,1.5316765567626642,5.3,103.0,93.0,0.2574062483241187
Costa,0.29184402656436925,1.74407929956642,5.1,81.0,94.0,0.658439985294168
Mendy,0.3019496226575118,1.5491604891024253,4.4,92.0,95.0,-0.591006140309574
Pulisic,0.18635526223527327,1.9391980651376173,8.2,88.0,96.0,0.8100768198624569
Diangana,0.2620490259649294,1.5921247965092769,5.1,93.0,97.0,-0.619083291387389
Adama,0.18540385551887717,1.4367705894372358,6.1,107.0,98.0,-0.6632022431764939
Praet,0.2609950447670693,1.6178622275452923,5.2,96.0,99.0,0.4425383384778759
Murphy,0.23866934950318006,1.4151281153169293,4.9,104.0,100.0,-0.5189321348323274
Fred,0.2195807923204719,1.4294794247234275,5.3,100.0,101.0,0.21639770144585763
Saint-Maximin,0.24737747565986845,1.517299889953466,5.1,101.0,102.0,1.0409120625201098
Riedewald,0.2513814866360576,1.3266606906080267,4.4,98.0,103.0,-0.5454126127839661
Cairney,0.24691918498055276,1.5446677566554061,5.2,102.0,104.0,1.0982246373155995
Trezeguet,0.23433577995283197,1.4792340505112582,5.2,106.0,105.0,0.30937063231266354
Moutinho,0.19601017530038364,1.2799409063185265,5.2,105.0,106.0,-0.3708177432411082
Mac Allister,0.17522904125932423,1.194415144099345,5.3,110.0,107.0,-1.2326659910519184
Djenepo,0.2262139095921552,1.4922695678909594,5.4,99.0,108.0,1.3112380369892485
Matic,0.2112601248250562,1.2285444280923217,4.7,112.0,109.0,-0.20774645904515623
Greenwood,0.17008607892330374,1.5415286992507649,7.0,108.0,110.0,-0.31069430617961363
Matt Phillips,0.19131957859707524,1.2314046149332205,5.1,109.0,111.0,-0.3177748118854081
Milivojevic,0.15807120685080575,1.1659396757946232,5.6,114.0,112.0,0.36787862642375035
Pepe,0.14077080015540522,1.4508636119790874,7.6,123.0,113.0,-0.1704437446831349
Elneny,0.2171692771389192,1.1761269688206175,4.4,111.0,114.0,-0.3177720345316205
Milner,0.18487469072633014,1.2455370862744761,5.3,115.0,115.0,0.41711865622289923
Lallana,0.168641582100405,1.3563981104629912,6.2,116.0,116.0,-0.013200758011714706
Perez,0.1537126383585952,1.2230696702552615,6.0,118.0,117.0,-0.6845273971825584
Sean Longstaff,0.17587241756861877,1.062222203987066,4.7,117.0,118.0,0.3730018541014996
Jones,0.16940677245979102,0.9659719482324537,4.4,120.0,119.0,0.34261415268304574
Allan,0.16767983680220436,1.1326231461279945,5.2,119.0,120.0,-0.38669733692830716
Lucas Moura,0.1234516759245873,1.1630126834771894,6.7,121.0,121.0,0.8707646416574575
Berge,0.15512270046267954,1.005749535018477,4.9,122.0,122.0,-0.3531644063120654
