Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Reguilon,0.481378840509832,2.85888659546821,5.7,46.0,44.0,0.8744234522948059
Lindelof,0.5246869135015351,2.6153621991755096,4.8,56.0,45.0,0.6476362722262781
Castagne,0.446418305318718,2.6596115448788606,5.7,40.0,46.0,-0.7073136216315078
Lowton,0.5432553574217347,2.4791165024930963,4.4,43.0,47.0,-0.8376444679123612
Tarkowski,0.48917193104794543,2.6995663545856,5.3,44.0,48.0,-0.9370268826742928
Bertrand,0.5392605125730725,2.797203619498843,5.0,42.0,49.0,0.5948739781045239
Dier,0.523449091544421,2.718146514355586,5.0,36.0,50.0,0.04641746766077311
Veltman,0.42916920614655246,1.9322024951349686,4.3,58.0,51.0,1.3854591316189595
Taylor,0.543873267321278,2.5382406539158837,4.5,48.0,52.0,-0.9201990541228308
Andersen,0.48556147341409706,2.2758375813335694,4.5,49.0,53.0,1.587299047810437
Ayling,0.508203279567816,2.3777257090253046,4.5,51.0,54.0,-0.508708163771483
Coady,0.46594066005062407,2.333380182611137,4.8,53.0,55.0,-0.35573122552622183
James,0.49490959482301566,2.62695801136353,5.1,54.0,56.0,-2.586312693524182
Zinchenko,0.3164677598308613,1.8515638413665658,5.5,61.0,57.0,1.3281220815022583
Aurier,0.41595834663043385,2.267920501377076,5.2,55.0,58.0,-1.1196809055886023
Semedo,0.40975898061638716,2.2786777172983417,5.3,57.0,59.0,0.6493431670696576
Digne,0.3586858848377656,2.2731965769867704,6.0,60.0,60.0,-1.7169740257245067
Kilman,0.449428810914439,1.8784360889645406,4.0,59.0,61.0,-0.024871593710344295
Rudiger,0.31127599893391633,1.4915529461727564,4.5,77.0,62.0,-0.2450504996467868
Alderweireld,0.4090615635793119,2.3179055844924434,5.4,50.0,63.0,0.8737143844626999
Ajayi,0.38237647591061963,1.9322720987391155,4.8,67.0,64.0,-1.4695115788324926
Cooper,0.39339824412485014,1.7783873584416487,4.3,70.0,65.0,-0.44460109477811327
Lewis,0.37283886538789823,1.6506801222012968,4.2,94.0,66.0,-2.1535806871996
